Date,Time,Main Chamber O2 (ppm),Airlock O2 (ppm)
03/15/2024,00:01:43,142.03,76.16
03/15/2024,00:01:44,117.36,85.52
03/15/2024,00:01:45,129.65,84.4
03/15/2024,00:01:46,147.14,88.5
03/15/2024,00:01:48,107.82,80.34
03/15/2024,00:01:49,146.44,71.76
03/15/2024,00:01:50,120.5,75.99
03/15/2024,00:01:51,133.44,81.81
03/15/2024,00:01:52,102.75,83.99
03/15/2024,00:01:53,116.31,85.99
03/15/2024,00:01:54,147.22,83.14
03/15/2024,00:01:55,130.54,82.33
03/15/2024,00:01:56,109.43,79.04
03/15/2024,00:01:57,132.2,89.36
03/15/2024,00:01:58,101.01,89.97
03/15/2024,00:01:59,118.9,76.77
03/15/2024,00:02:00,135.88,72.82
03/15/2024,00:02:01,128.36,72.24
03/15/2024,00:02:02,104.41,83.46
03/15/2024,00:02:03,105.42,72.59
03/15/2024,00:02:04,137.04,80.68
03/15/2024,00:02:05,140.24,78.08
03/15/2024,00:02:06,107.26,82.85
03/15/2024,00:02:07,144.63,78.02
03/15/2024,00:02:08,137.66,83.45
03/15/2024,00:02:09,105.22,82.16
03/15/2024,00:02:10,139.88,84.9
03/15/2024,00:02:11,110.17,75.3
03/15/2024,00:02:12,113.68,76.8
03/15/2024,00:02:13,117.19,77.98
03/15/2024,00:02:14,108.27,88.18
03/15/2024,00:02:15,108.79,86.22
03/15/2024,00:02:16,112.2,88.8
03/15/2024,00:02:17,146.06,78.47
03/15/2024,00:02:18,117.64,77.36
03/15/2024,00:02:19,148.07,84.14
03/15/2024,00:02:20,108.83,74.7
03/15/2024,00:02:21,124.74,73.72
03/15/2024,00:02:22,123.54,87.72
03/15/2024,00:02:23,103.16,85.62
03/15/2024,00:02:24,126.29,73.9
03/15/2024,00:02:25,116.33,72.98
03/15/2024,00:02:26,119.06,77.85
03/15/2024,00:02:27,107.58,87.56
03/15/2024,00:02:28,147.21,86.19
03/15/2024,00:02:29,127.77,86.39
03/15/2024,00:02:30,128.61,79.83
03/15/2024,00:02:31,134.98,79.34
