Date,Time,Main Chamber O2 (ppm),Airlock O2 (ppm)
03/15/2024,00:46:01,138.61,86.76
03/15/2024,00:46:02,134.02,82.78
03/15/2024,00:46:03,137.01,84.57
03/15/2024,00:46:04,129.62,86.28
03/15/2024,00:46:05,124.3,75.2
03/15/2024,00:46:06,113.3,79.99
03/15/2024,00:46:07,104.93,75.01
03/15/2024,00:46:08,137.33,77.98
03/15/2024,00:46:09,102.78,72.57
03/15/2024,00:46:10,148.89,85.57
03/15/2024,00:46:11,125.49,77.59
03/15/2024,00:46:12,114.1,72.61
03/15/2024,00:46:13,128.16,74.17
03/15/2024,00:46:14,141.25,83.66
03/15/2024,00:46:15,101.69,86.22
03/15/2024,00:46:16,117.57,78.92
03/15/2024,00:46:17,141.36,79.75
03/15/2024,00:46:18,134.18,76.88
03/15/2024,00:46:19,102.93,72.31
03/15/2024,00:46:20,127.78,73.25
03/15/2024,00:46:43,116.3,71.08
03/15/2024,00:46:44,132.67,89.75
03/15/2024,00:46:44,144.72,88.32
03/15/2024,00:46:45,124.74,72.96
03/15/2024,00:46:45,114.26,72.04
03/15/2024,00:46:46,135.74,71.22
03/15/2024,00:46:46,120.77,88.03
03/15/2024,00:46:47,123.59,75.8
03/15/2024,00:46:47,137.72,71.2
03/15/2024,00:46:48,107.65,83.87
03/15/2024,00:46:48,120.4,78.59
03/15/2024,00:46:49,142.49,77.92
03/15/2024,00:46:49,144.46,75.47
03/15/2024,00:46:50,106.97,80.66
03/15/2024,00:46:50,142.83,85.59
03/15/2024,00:46:51,100.24,74.02
03/15/2024,00:46:52,113.11,89.57
03/15/2024,00:46:52,111.96,74.26
03/15/2024,00:46:53,100.82,72.74
03/15/2024,00:46:53,123.26,73.05
03/15/2024,00:46:54,142.1,87.71
03/15/2024,00:46:54,116.99,80.22
03/15/2024,00:46:55,117.71,87.43
03/15/2024,00:46:55,100.16,79.36
03/15/2024,00:46:56,144.71,72.16
03/15/2024,00:46:56,118.27,73.34
03/15/2024,00:46:57,136.59,77.45
03/15/2024,00:46:57,136.8,81.9
